stop_loss,take_profit,trail_back,hold_bars,n,win_rate,avg_ret,pl_ratio,profit_factor,max_drawdown,sharpe,total_return,cagr,qlib_veto_hits
0.04,0.15,0.1,20,123,0.4553,0.0189,1.923,1.607,-0.559,0.567,1.0028,0.23683356067317907,0
0.05,0.1,0.1,20,120,0.4833,0.0195,1.688,1.579,-0.5686,0.567,0.999,0.2361267975195145,0
0.04,0.3,0.12,20,114,0.4386,0.0201,2.106,1.645,-0.5458,0.566,0.9987,0.23605860374177645,0
0.05,0.1,0.06,20,131,0.4504,0.0183,1.846,1.513,-0.5658,0.564,0.9824,0.2329928597330051,0
0.03,0.15,0.06,20,153,0.3922,0.0159,2.292,1.479,-0.5614,0.562,0.968,0.23025518646493426,0
0.04,0.1,0.06,20,140,0.4286,0.0167,2.017,1.512,-0.5744,0.559,0.9513,0.22705059046051734,0
0.03,0.1,0.06,20,156,0.3974,0.015,2.245,1.481,-0.5343,0.559,0.949,0.22661077842148414,0
0.03,0.2,0.1,20,137,0.4015,0.0166,2.238,1.501,-0.577,0.554,0.9475,0.2263198343461843,0
0.06,0.1,0.06,20,122,0.4836,0.0188,1.643,1.538,-0.5662,0.553,0.9181,0.22065940558867636,0
0.05,0.1,0.12,20,116,0.4397,0.0194,1.996,1.566,-0.5438,0.552,0.9113,0.21934063723444308,0
0.04,0.15,0.12,20,118,0.4492,0.0182,1.977,1.612,-0.5331,0.551,0.9077,0.2186396518612992,0
0.03,0.3,0.12,20,123,0.4309,0.0174,2.088,1.581,-0.5198,0.549,0.892,0.2155708947002406,0
0.04,0.2,0.1,20,121,0.4545,0.0175,1.863,1.553,-0.528,0.545,0.8713,0.21149847849365488,0
0.04,0.1,0.12,20,124,0.4113,0.0173,2.211,1.545,-0.566,0.534,0.8371,0.20470555195678375,0
0.04,0.3,0.1,20,115,0.4348,0.018,2.015,1.55,-0.5078,0.536,0.8273,0.20273126315733703,0
0.03,0.1,0.1,20,137,0.4161,0.0148,2.083,1.484,-0.5066,0.536,0.8262,0.202518162389983,0
0.03,0.1,0.12,20,139,0.3885,0.0147,2.27,1.442,-0.5202,0.523,0.7669,0.1904657726220178,0
0.04,0.1,0.1,20,131,0.4504,0.0145,1.774,1.454,-0.5473,0.52,0.7541,0.18784846258926668,0
0.06,0.3,0.12,20,103,0.4854,0.0192,1.611,1.52,-0.5278,0.519,0.7479,0.1865576261320514,0
0.05,0.2,0.1,20,118,0.4661,0.0164,1.681,1.468,-0.5018,0.517,0.7437,0.18567844354735707,0
0.05,0.15,0.1,20,119,0.4622,0.0162,1.703,1.463,-0.4995,0.515,0.7358,0.1840466605444544,0
0.03,0.15,0.12,20,136,0.4044,0.0135,2.1,1.426,-0.4748,0.5,0.6788,0.17205277868054814,0
0.03,0.15,0.1,20,147,0.3878,0.0119,2.153,1.364,-0.4617,0.483,0.6224,0.15990897027087514,0
0.05,0.2,0.12,20,113,0.4513,0.0144,1.72,1.415,-0.4475,0.47,0.5837,0.15139354955092688,0
0.08,0.15,0.06,20,107,0.5327,0.0148,1.216,1.386,-0.3752,0.471,0.582,0.15101360971648048,0
0.05,0.15,0.12,20,114,0.4474,0.014,1.736,1.406,-0.4428,0.466,0.5704,0.14843368522953715,0
0.05,0.3,0.1,20,111,0.4505,0.0138,1.685,1.381,-0.4608,0.451,0.5286,0.13902772631419835,0
0.05,0.3,0.12,20,109,0.4495,0.0132,1.672,1.366,-0.4436,0.434,0.4897,0.1301292099104283,0
